@title; @kind; @symbols; @prefixes; @group; @parent; @link; @definition; @description
Feet per hour per second; acceleration; fph/s; ; ; ; http://conversion.org/acceleration/feet-per-hour-per-second/; 1 ft/h·s; <b>Feet per hour per second</b> is British/American <i>acceleration</i> unit, symbol: [fph/s]. Definition of 1 feet per hour per second ≡ 1 ft/(h·s). Acceleration equivalent to change of 1 fph velocity in 1 second..
Feet per minute per second; acceleration; fpm/s; ; ; ; http://conversion.org/acceleration/feet-per-minute-per-second/; 1 ft/min·s; <b>Feet per minute per second</b> is British/American <i>acceleration</i> unit, symbol: [fpm/s]. Definition of 1 feet per minute per second ≡ 1 ft/(min·s). Acceleration equivalent to change of 1 fpm velocity in 1 second..
Feet per second squared; acceleration; fps²; ; ; ; http://conversion.org/acceleration/feet-per-second-squared/; 1 ft/s²; <b>Feet per second squared</b> is British/American <i>acceleration</i> unit, symbol: [fps²]. Definition of 1 feet per second squared ≡ 1 ft/s². Acceleration equivalent to change of 1 fps velocity in 1 second..
Galileo; acceleration; Gal; ;CGS; ; http://conversion.org/acceleration/galileo/; 1 cm/s²; <b>Galileo</b> is Metric <i>acceleration</i> unit, symbol: [Gal]. Definition of 1 galileo ≡ 1 cm/s². Acceleration unit named after Galileo Galilei, value is exactly 1 cm/s².
Inches per hour per second; acceleration; iph/s; ; ; ; http://conversion.org/acceleration/inches-per-hour-per-second/; 1 in/h·s; <b>Inches per hour per second</b> is British/American <i>acceleration</i> unit, symbol: [iph/s]. Definition of 1 inches per hour per second ≡ 1 in/(h·s). Acceleration equivalent to change of 1 iph velocity in 1 second..
Inches per minute per second; acceleration; ipm/s; ; ; ; http://conversion.org/acceleration/inches-per-minute-per-second/; 1 in/min·s; <b>Inches per minute per second</b> is British/American <i>acceleration</i> unit, symbol: [ipm/s]. Definition of 1 inches per minute per second ≡ 1 in/(min·s). Acceleration equivalent to change of 1 ipm velocity in 1 second..
Inches per second squared; acceleration; ips²; ; ; ; http://conversion.org/acceleration/inches-per-second-squared/; 1 in/s²; <b>Inches per second squared</b> is British/American <i>acceleration</i> unit, symbol: [ips²]. Definition of 1 inches per second squared ≡ 1 in/s². Acceleration equivalent to change of 1 ips velocity in 1 second..
Kilometres per hour per second; acceleration; km/(h·s); ; ; ; http://conversion.org/acceleration/kilometres-per-hour-per-second/; 1000/3600 m/s²; <b>Kilometres per hour per second</b> is Metric <i>acceleration</i> unit, symbol: [km/(h·s)]. Definition of 1 kilometres per hour per second ≡ 1000 m / 3600 s². Acceleration equivalent to change of 1 km/h velocity in 1 second..
Kilometres per minute per second; acceleration; km/(min·s); ; ; ; http://conversion.org/acceleration/kilometres-per-minute-per-second/; 1000/60 m/s²; <b>Kilometres per minute per second</b> is Metric <i>acceleration</i> unit, symbol: [km/(min·s)]. Definition of 1 kilometres per minute per second ≡ 1000 m / 60 s². Acceleration equivalent to change of 1 km/min velocity in 1 second..
Kilometres per second squared; acceleration; km/s²; ; ; ; http://conversion.org/acceleration/kilometres-per-second-squared/; 1 km/s²; <b>Kilometres per second squared</b> is Metric <i>acceleration</i> unit, symbol: [km/s²]. Definition of 1 kilometres per second squared ≡ 1000 m / 1 s². Acceleration equivalent to change of 1 km/s velocity in 1 second..
Knots per second; acceleration; kn/s; ; ; ; http://conversion.org/acceleration/knots-per-second/; 1 kn/s; <b>Knots per second</b> is  <i>acceleration</i> unit, symbol: [kn/s]. Definition of 1 knots per second ≡ 1 kn/s. Acceleration equivalent to change of 1 knot velocity in 1 second..
Metres per hour per second; acceleration; m/(h·s); ; ; ; http://conversion.org/acceleration/metres-per-hour-per-second/; 1/3600 m/s²; <b>Metres per hour per second</b> is Metric <i>acceleration</i> unit, symbol: [m/(h·s)]. Definition of 1 metres per hour per second ≡ 1 m / 3600 s². Acceleration equivalent to change of 1 m/h velocity in 1 second..
Metres per minute per second; acceleration; m/(min·s); ; ; ; http://conversion.org/acceleration/metres-per-minute-per-second/; 1 m / 60 s²; <b>Metres per minute per second</b> is Metric <i>acceleration</i> unit, symbol: [m/(min·s)]. Definition of 1 metres per minute per second ≡ 1 m / 60 s². Acceleration equivalent to change of 1 m/min velocity in 1 second..
Metres per second squared; acceleration; m/s²; ; ; ; http://conversion.org/acceleration/metres-per-second-squared/; 1 m / 1 s²; <b>Metres per second squared</b> is Metric <i>acceleration</i> unit, symbol: [m/s²]. Definition of 1 metres per second squared ≡ 1 m / 1 s². Acceleration equivalent to change of 1 m/s velocity in 1 second..
Miles per hour per second; acceleration; mph/s; ; ; ; http://conversion.org/acceleration/miles-per-hour-per-second/; 1 mi/h·s; <b>Miles per hour per second</b> is British/American <i>acceleration</i> unit, symbol: [mph/s]. Definition of 1 miles per hour per second ≡ 1 mi/(h·s). Acceleration equivalent to change of 1 mph velocity in 1 second..
Miles per minute per second; acceleration; mpm/s; ; ; ; http://conversion.org/acceleration/miles-per-minute-per-second/; 1 mi/min·s; <b>Miles per minute per second</b> is British/American <i>acceleration</i> unit, symbol: [mpm/s]. Definition of 1 miles per minute per second ≡ 1 mi/(min·s). Acceleration equivalent to change of 1 mpm velocity in 1 second..
Miles per second squared; acceleration; mps²; ; ; ; http://conversion.org/acceleration/miles-per-second-squared/; 1 mi/s²; <b>Miles per second squared</b> is British/American <i>acceleration</i> unit, symbol: [mps²]. Definition of 1 miles per second squared ≡ 1 mi/s². Acceleration equivalent to change of 1 mps velocity in 1 second..
