@title; @kind; @symbols; @abbr; @group; @parent; @link; @definition; @description
Acre; area; ac; ; ; ; http://conversion.org/area/acre/; 1 ch × 10 ch = 4840 sq yd = 1⁄640 sq mi; <b>Acre</b> is  <i>area</i> unit, symbol: [ac]. Definition of 1 acre ≡ 1 ch × 10 ch ≡ 4840 sq yd ≡ 1⁄640 sq mi. International and US survey acre ≡ 4840 × 0.9144 × 0.9144 ≡ 4046.8564224 m².
Are; area; a; ; metric; ; http://conversion.org/area/are/; 100 m²; <b>Are</b> is  <i>area</i> unit, symbol: [a]. Definition of 1 are ≡ 100 m². The are area unit is equal to 100 square metres, used for measuring land area. It was defined by older forms of the metric system..
Barn; area; b; ; ; ; http://conversion.org/area/barn/; 1e-28 m²; <b>Barn</b> is  <i>area</i> unit, symbol: [b]. Definition of 1 barn ≡ 10^-28 m². Originally used in nuclear physics for expressing the cross sectional area of nuclei and nuclear reactions. .
Barony; area; barony; ; ; ; http://conversion.org/area/barony/; 4000 ac; <b>Barony</b> is  <i>area</i> unit. Definition of 1 barony ≡ 4000 ac. ≡ 4000×4840×0.9144×0.9144 m².
Board; area; bd; ; ; ; http://conversion.org/area/board/; 1 in × ft; <b>Board</b> is  <i>area</i> unit, symbol: [bd]. Definition of 1 board ≡ 1 in × ft. ≡ 0.3048 × 0.0254 ≡ 7.74192×10^-3 m².
Circular inch; area; circ in; ; ; ; http://conversion.org/area/circular-inch/; π⁄4 sq in; <b>Circular inch</b> is  <i>area</i> unit, symbol: [circ in]. Definition of 1 circular inch ≡  π⁄4 sq in. Area of circle with diameter of 1 inch, value exactly π × 0.00016129 ≡ 5.067075×10^-4 m².
Circular mil; area; circ mil; ; ; ; http://conversion.org/area/circular-mil-circular-thou/; π⁄4 mil²; "<b>Circular mil; circular thou</b> is  <i>area</i> unit, symbol: [circ mil]. Definition of 1 circular mil; circular thou ≡  π⁄4 mil². Area of circle with diameter of 1 mil, value exactly π × 1.6129×10^-10 ≡ 5.067075×10^-10 m²."
circular thou; area; circular thou; ; ; ; http://conversion.org/area/circular-mil-circular-thou/; π⁄4 mil²; "<b>Circular mil; circular thou</b> is  <i>area</i> unit, symbol: [circ mil]. Definition of 1 circular mil; circular thou ≡  π⁄4 mil². Area of circle with diameter of 1 mil, value exactly π × 1.6129×10^-10 ≡ 5.067075×10^-10 m²."
Cord; area; cord; ; ; ; http://conversion.org/area/cord/; 192 bd; <b>Cord</b> is  <i>area</i> unit. Definition of 1 cord ≡ 192 bd. ≡ 1.48644864 m².
Cuerda (PR Survey); area; cda; ; PR Survey; Cuerda; http://conversion.org/area/cuerda-pr-survey/; 1 cda × cda = 0.971 acre; <b>Cuerda (PR Survey)</b> is  <i>area</i> unit, symbol: [cda]. Definition of 1 cuerda (PR Survey) ≡ 1 cda × cda ≡ 0.971 acre. Area unit used in some Spanish-speaking regions, also called Spanish acre ≡ 3930.395625 m².
