@title; @kind; @symbols; @prefixes; @group; @parent; @link; @definition; @description
Degrees per day; frequency; deg/day; ; ; ; http://conversion.org/frequency/degrees-per-day/; 1/(360 × 86400) Hz; <b>Degrees per day</b> is  <i>frequency</i> unit, symbol: [deg/day]. Definition of 1 degrees per day  ≡ 1/(360 × 86400) Hz. Degrees per day is the angular velocity where the body turn one degree in one day. Used to express very slow angular velocities..
Degrees per hour; frequency; deg/h; ; ; ; http://conversion.org/frequency/degrees-per-hour/; 1/(360 × 3600) Hz; <b>Degrees per hour</b> is  <i>frequency</i> unit, symbol: [deg/h]. Definition of 1 degrees per hour  ≡ 1/(360 × 3600) Hz. Degrees per hour is the angular velocity where body turns one degree in one hour..
Degrees per minute; frequency; deg/min; ; ; ; http://conversion.org/frequency/degrees-per-minute/; 1/(360 × 60) Hz; <b>Degrees per minute</b> is  <i>frequency</i> unit, symbol: [deg/min]. Definition of 1 degrees per minute  ≡ 1/(360 × 60) Hz. Degrees per minute is a form of angular velocity unit. Value will show you how many degrees the body will turn in a minute. The frequency can also be determined from number with equation: 1 [Hz] ≡ 1/21600 [deg / min].
Degrees per second; frequency; deg/s; ; ; ; http://conversion.org/frequency/degrees-per-second/; 1/360 Hz; <b>Degrees per second</b> is  <i>frequency</i> unit, symbol: [deg/s]. Definition of 1 degrees per second  ≡ 1/360 Hz. Degrees per second is a variant of the angular velocity unit. One hertz frequency is equal to turning a full circle (360°) in one second , 1 Hz ≡ 360 deg / s..
Gigahertz; frequency; GHz; ; ; ; http://conversion.org/frequency/gigahertz/; 1e9 Hz; <b>Gigahertz</b> is  <i>frequency</i> unit, symbol: [GHz]. Definition of 1 gigahertz  ≡ 10^9 Hz. Billion Hertz. How many cycles happen in one billionth of a second. Cycle per 10 ^-9 sec. Example: Computer processor cycles (clock rate) are measured in GHz..
Hertz; frequency; Hz; ; ; ; http://conversion.org/frequency/hertz/; 1 Hz; <b>Hertz</b> is  <i>frequency</i> unit, symbol: [Hz]. Definition of 1 hertz  ≡ 1 Hz. Hertz (Hz) is a derived unit of measure. Written with basic SI units Hz ≡ 1/s or s^-1. Frequency (Hertz) tells you how many times a event (cycle, rotation, etc.) takes place within one second..
Kilohertz; frequency; kHz; ; ; ; http://conversion.org/frequency/kilohertz/; 1000 Hz; <b>Kilohertz</b> is  <i>frequency</i> unit, symbol: [kHz]. Definition of 1 kilohertz  ≡ 1000 Hz. Thousands of hertz. How many events (cycles) occur in 0.001 sec. Used for faster cycles. Example: Ultrasound sound more than 20 kHz..
Megahertz; frequency; MHz; ; ; ; http://conversion.org/frequency/megahertz/; 1e6 Hz; <b>Megahertz</b> is  <i>frequency</i> unit, symbol: [MHz]. Definition of 1 megahertz  ≡ 10^6 Hz. Millions of Hertz. How many cycles take place over one millionth of a second. Event per 0.000001 sec..
Millihertz; frequency; mHz; ; ; ; http://conversion.org/frequency/millihertz/; 1/1000 Hz; <b>Millihertz</b> is  <i>frequency</i> unit, symbol: [mHz]. Definition of 1 millihertz  ≡ Hz/1000. The thousandth of the hertz. How many cycles (eg rotations) occur within 1000 seconds. Used for slower events..
Radians per day; frequency; rad/day; ; ; ; http://conversion.org/frequency/radians-per-day/; Hz/(2 × π × 86400); <b>Radians per day</b> is  <i>frequency</i> unit, symbol: [rad/day]. Definition of 1 radians per day  ≡ Hz/(2 × π × 86400). Radians per day is the unit of angular velocity used for very slow rotation speeds. From this, we can calculate the number of rotations per day. 1 Hertz ≡ 1 / (2 π 86400).
Radians per hour; frequency; rad/h; ; ; ; http://conversion.org/frequency/radians-per-hour/; Hz/(2 × π × 3600); <b>Radians per hour</b> is  <i>frequency</i> unit, symbol: [rad/h]. Definition of 1 radians per hour  ≡ Hz/(2 × π × 3600). Radians per hour is the unit of angular velocity. It can be converted into turns per day (or second) unit of frequency..
Radians per minute; frequency; rad/min; ; ; ; http://conversion.org/frequency/radians-per-minute/; 1/(2 × π × 60) Hz; <b>Radians per minute</b> is  <i>frequency</i> unit, symbol: [rad/min]. Definition of 1 radians per minute  ≡ Hz/(2 × π × 60). Radian per minute is actually a unit of angular velocity, but since radian is dimensionless unit, rotations per minute can be calculated (the frequency)..
Radians per second; frequency; rad/s; ; ; ; http://conversion.org/frequency/radians-per-second/; 1/(2 × π) Hz; <b>Radians per second</b> is  <i>frequency</i> unit, symbol: [rad/s]. Definition of 1 radians per second  ≡ Hz/(2 × π). Radian per second is actually a unit of angular velocity, but radian can be treated as a dimensionless number. According to this, angular velocity can be converted directly into rotations per second. One hertz is equal to (2×π×rad) / s. [rad / s] is derived SI unit of measure..
Revolutions per day; frequency; rpd; ; ; ; http://conversion.org/frequency/revolutions-per-day/; 1/86400 Hz; <b>Revolutions per day</b> is  <i>frequency</i> unit, symbol: [rpd]. Definition of 1 revolutions per day  ≡ Hz/86400. The number of events or cycles that occurred in one day. The sign rpd (revolutions per day) the value if Hertz / 86400. It is used to express slow frequencies. The Earth's rotational frequency is 1 rpd (revolution per day).
Revolutions per hour; frequency; rph; ; ; ; http://conversion.org/frequency/revolutions-per-hour/; 1/3600 Hz; <b>Revolutions per hour</b> is  <i>frequency</i> unit, symbol: [rph]. Definition of 1 revolutions per hour  ≡ Hz/3600. The number of cycles or periodically repeating events occurring in one hour. Symbol rph (revolutions per hour), the value is 1/3600 Hertz..
Revolutions per minute; frequency; rpm; ; ; ; http://conversion.org/frequency/revolutions-per-minute/; 1/60 Hz; <b>Revolutions per minute</b> is  <i>frequency</i> unit, symbol: [rpm]. Definition of 1 revolutions per minute  ≡ Hz/60. The number of cycles that occurred in one minute. Cycle may be periodically repeating event. Symbol is rpm (revolutions per minute), it is the sixtieth part of Hertz..
Revolutions per second; frequency; rps; ; ; ; http://conversion.org/frequency/revolutions-per-second/; 1 Hz; <b>Revolutions per second</b> is  <i>frequency</i> unit, symbol: [rps]. Definition of 1 revolutions per second  ≡ 1 Hz. Number of revolutions in one second period. Value is equal to Hertz: 1 rps ≡ 1 Hz..
