@title; @kind; @symbols; @abbr; @group; @parent; @link; @definition; @description
ångström; length; Å; ; metric; ; http://conversion.org/length/angstrom/; 1e-10 m; <b>ångström</b> is metric <i>length</i> unit, symbol: [Å]. Definition of 1 ångström ≡ 1×10^-10 m . ≡ 0.1 nm.
Astronomical unit; length; AU; ; ; ; http://conversion.org/length/astronomical-unit/; 149597870700 m; <b>Astronomical unit</b> is  <i>length</i> unit, symbol: [AU]. Definition of 1 astronomical unit ≡ 149597870700 m. ≡ Distance from Earth to Sun .
Bohr, atomic unit of length; length; a₀; ; ; ; http://conversion.org/length/bohr-atomic-unit-of-length/; Bohr radius of hydrogen; <b>Bohr, atomic unit of length</b> is  <i>length</i> unit, symbol: [a_0_]. Definition of 1 bohr, atomic unit of length ≡ Bohr radius of hydrogen . .
Cable length (imperial); length; cable (imp); ; imperial; Cable length; http://conversion.org/length/cable-length-imperial/; 608 ft; <b>Cable length (imperial)</b> is  <i>length</i> unit. Definition of 1 cable length (imperial) ≡ 608 ft . .
Cable length (International); length; cable; ; International; Cable length; http://conversion.org/length/cable-length-international/; 1⁄10 nmi; <b>Cable length (International)</b> is  <i>length</i> unit. Definition of 1 cable length (International) ≡  1⁄10 nmi . .
Cable length (US); length; cable (US); ; US; Cable length; http://conversion.org/length/cable-length-us/; 720 ft; <b>Cable length (US)</b> is  <i>length</i> unit. Definition of 1 cable length (US) ≡ 720 ft . .
Centimetre; length; cm; ; metric; ; http://conversion.org/length/centimetre/; 1e-2 m; <b>Centimetre</b> is metric <i>length</i> unit, symbol: [cm]. Definition of 1 centimetre  ≡1x10^-2 m. .
Chain; length; ch; ; ; ; http://conversion.org/length/chain/; 66 ft (US) = 4 rods; "<b>Chain</b> is  <i>length</i> unit, symbol: [ch]. Definition of 1 chain ≡ 66 ft (US) ≡ 4 rods. (Chain - Gunter's; Surveyor's)."
Decimetre; length; dm; ; metric; ; http://conversion.org/length/decimetre/; 1e-1 m; <b>Decimetre</b> is metric <i>length</i> unit, symbol: [dm]. Definition of 1 decimetre  ≡10^-1 m. .
Dekametre; length; dam; ; metric; ; http://conversion.org/length/dekametre/; 10 m; <b>Dekametre</b> is metric <i>length</i> unit, symbol: [dam]. Definition of 1 dekametre  ≡10 m. .
Fathom; length; ftm; ; ; ; http://conversion.org/length/fathom/; 6 ft; <b>Fathom</b> is  <i>length</i> unit, symbol: [ftm]. Definition of 1 fathom ≡ 6 ft. .
Fermi; length; fm; ; ; ; http://conversion.org/length/fermi/; 1e-15 m; <b>Fermi</b> is  <i>length</i> unit, symbol: [fm]. Definition of 1 fermi ≡ 1×10^-15 m. .
Finger; length; finger; ; ; ; http://conversion.org/length/finger/; 7⁄8 in; <b>Finger</b> is  <i>length</i> unit. Definition of 1 finger ≡  7⁄8 in . .
Finger (cloth); length; finger (cloth); ; cloth; Finger; http://conversion.org/length/finger-cloth/; 4 1⁄2 in; <b>Finger (cloth)</b> is  <i>length</i> unit. Definition of 1 finger (cloth) ≡  4 1⁄2 in . .
Foot (International); length; ft; ; International; Foot; http://conversion.org/length/foot-international/; 0.3048 m = 1⁄3 yd = 12 inches; <b>Foot (International)</b> is  <i>length</i> unit, symbol: [ft]. Definition of 1 foot (International) ≡ 0.3048 m ≡  1⁄3 yd ≡ 12 inches . .
Foot, metric; length; mf; ; metric; ; http://conversion.org/length/foot-metric/; √ 1⁄10 m; <b>Foot, metric</b> is  <i>length</i> unit, symbol: [mf]. Definition of 1 foot, metric ≡ √ 1⁄10 m . .
Foot, metric (long); length; lmf; ; metric; Foot, metric; http://conversion.org/length/foot-metric-long/; 1⁄3 m; <b>Foot, metric (long)</b> is  <i>length</i> unit, symbol: [lmf]. Definition of 1 foot, metric (long) ≡  1⁄3 m . .
Foot, metric (short); length; smf; ; metric; Foot, metric; http://conversion.org/length/foot-metric-short/; 0.30 m; <b>Foot, metric (short)</b> is  <i>length</i> unit, symbol: [smf]. Definition of 1 foot, metric (short) ≡ 0.30 m . .
