@title; @kind; @symbols; @abbr; @group; @parent; @link; @definition; @description
Atomic mass unit, unified; mass; u,AMU; ; ; ; http://conversion.org/mass/atomic-mass-unit-unified/; 1.66053904e-27 kg; "<b>Atomic mass unit, unified</b> is  <i>mass</i> unit, symbol: [u; AMU]. Definition of 1 atomic mass unit, unified ≡ 1.66053904 × 10^-27 kg. The unified atomic mass unit or dalton is a standard unit of mass that quantifies mass on an atomic or molecular scale (atomic mass).."
Atomic unit of mass, electron rest mass; mass; me; ; ; ; http://conversion.org/mass/atomic-unit-of-mass-electron-rest-mass/; 9.10938356e-31 kg; <b>Atomic unit of mass, electron rest mass</b> is  <i>mass</i> unit, symbol: [me]. Definition of 1 atomic unit of mass, electron rest mass ≡ 9.10938356 × 10^-31 kg. .
Bag (coffee); mass; bag (coffee); ; coffee; Bag; http://conversion.org/mass/bag-coffee/; 60 kg; <b>Bag (coffee)</b> is  <i>mass</i> unit. Definition of 1 bag (coffee) ≡ 60 kg . .
Bag (Portland cement); mass; bag (Portland cement); ; Portland cement; Bag; http://conversion.org/mass/bag-portland-cement/; 94 lb av; <b>Bag (Portland cement)</b> is  <i>mass</i> unit. Definition of 1 bag (Portland cement) ≡ 94 lb av . ≡ 94 × 0.45359237 kg.
Barge; mass; barge; ; ; ; http://conversion.org/mass/barge/; 22 1⁄2 short ton; <b>Barge</b> is  <i>mass</i> unit. Definition of 1 barge ≡  22 1⁄2 short ton . ≡ 20411.65665 kg.
Carat; mass; kt; ; ; ; http://conversion.org/mass/carat/; 3 1⁄6 gr; <b>Carat</b> is  <i>mass</i> unit, symbol: [kt]. Definition of 1 carat ≡  3 1⁄6 gr . ≡ 19/6 grain ≡ 205.1965483 mg.
Carat (metric); mass; ct; ; metric; Carat; http://conversion.org/mass/carat-metric/; 200 mg; <b>Carat (metric)</b> is  <i>mass</i> unit, symbol: [ct]. Definition of 1 carat (metric) ≡ 200 mg . The carat (ct) is a unit of mass equal to 200 mg and is used for measuring gemstones and pearls (metric carat).
Centigram; mass; cg; ; metric; ; http://conversion.org/mass/centigram/; 1e-5 kg; <b>Centigram</b> is metric <i>mass</i> unit, symbol: [cg]. Definition of 1 Centigram  ≡1x10^-5 kg. .
Clove; mass; clove; ; ; ; http://conversion.org/mass/clove/; 8 lb av; <b>Clove</b> is  <i>mass</i> unit. Definition of 1 clove ≡ 8 lb av . ≡ 8 × 0.45359237 kg.
Crith; mass; crith; ; ; ; http://conversion.org/mass/crith/; 89.9349 mg; <b>Crith</b> is  <i>mass</i> unit. Definition of 1 crith ≡ 89.9349 mg. .
Dalton; mass; Da; ; ; ; http://conversion.org/mass/dalton/; 1.66053904e-27 kg; <b>Dalton</b> is  <i>mass</i> unit, symbol: [Da]. Definition of 1 dalton ≡ 1.66053904 × 10^-27 kg. Dalton (Da) or the unified atomic mass unit is a standard unit of mass that quantifies mass on an atomic or molecular scale (atomic mass)..
