@title; @kind; @symbols; @abbr; @group; @parent; @link; @definition; @description
Centimetre per day; speed; cm/d; ; ; ; http://conversion.org/speed/centimetre-per-day/; 1 cm / 86400 s; <b>Centimetre per day</b> is  <i>speed</i> unit, symbol: [cm/d]. Definition of 1 centimetre per day ≡ 1 cm / 86400 s. The speed with which the body moves 1 centimetre in 1 day..
Centimetre per hour; speed; cm/h; ; ; ; http://conversion.org/speed/centimetre-per-hour/; 1 cm / 3600 s; <b>Centimetre per hour</b> is  <i>speed</i> unit, symbol: [cm/h]. Definition of 1 centimetre per hour ≡ 1 cm / 3600 s. The speed with which the body moves 1 centimetre in 1 hour..
Centimetre per minute; speed; cm/min; ; ; ; http://conversion.org/speed/centimetre-per-minute/; 1 cm / 60 s; <b>Centimetre per minute</b> is  <i>speed</i> unit, symbol: [cm/min]. Definition of 1 centimetre per minute ≡ 1 cm / 60 s. The speed with which the body moves 1 centimetre in 1 minute..
Centimetre per second; speed; cm/s; ; ; ; http://conversion.org/speed/centimetre-per-second/; 1 cm / 1 s; <b>Centimetre per second</b> is  <i>speed</i> unit, symbol: [cm/s]. Definition of 1 centimetre per second ≡ 1 cm / 1 s. The speed at which the body moves 1 centimetre in 1 second..
Feet per day; speed; fpd; ; ; ; http://conversion.org/speed/feet-per-day/; 1 ft / 86400 s = 30.48 cm / 86400 s; <b>Feet per day</b> is  <i>speed</i> unit, symbol: [fpd]. Definition of 1 feet per day ≡ 1 ft / 86400 s ≡ 30.48 cm / 86400 s. The speed with which the body travels 1 foot (or 30.48 centimetres) in 1 day..
Feet per hour; speed; fph; ; ; ; http://conversion.org/speed/feet-per-hour/; 1 ft / 3600 s = 30.48 cm / 3600 s; <b>Feet per hour</b> is  <i>speed</i> unit, symbol: [fph]. Definition of 1 feet per hour ≡ 1 ft / 3600 s ≡ 30.48 cm / 3600 s. The speed with which the body moves 1 foot (or 30.48 centimetres) in 1 hour..
Feet per minute; speed; fpm; ; ; ; http://conversion.org/speed/feet-per-minute/; 1 ft / 60 s = 30.48 cm / 60 s; <b>Feet per minute</b> is  <i>speed</i> unit, symbol: [fpm]. Definition of 1 feet per minute ≡ 1 ft / 60 s ≡ 30.48 cm / 60 s. The speed with which the body moves 1 foot (or 30.48 centimetres) in 1 minute..
Feet per second; speed; fps; ; ; ; http://conversion.org/speed/feet-per-second/; 1 ft / 1 s = 30.48 cm / 1 s; <b>Feet per second</b> is  <i>speed</i> unit, symbol: [fps]. Definition of 1 feet per second ≡ 1 ft / 1 s ≡ 30.48 cm / 1 s. Abbreviation is fps. In America, perhaps this is the second most commonly used speed unit in public life (after miles per hour). Definition: The speed at which the body moves 1 foot (or 30.48 centimetres) in 1 second..
Furlong per fortnight; speed; fur/fn; ; ; ; http://conversion.org/speed/furlong-per-fortnight/; (mi/8) / 14 days = 201.168 m / (14x86400 s); <b>Furlong per fortnight</b> is  <i>speed</i> unit, symbol: [fur/fn]. Definition of 1 furlong per fortnight ≡ (mi/8) / 14 days ≡ 201.168 m / (14x86400 s). This is a kind of funny speed unit based on unusual length and time units. Furlong is equal to eighth of mile. Fortnight is 2 weeks time (≡ 14 days). Two quotients give the fur/fn speed..
Horse speed; speed; horse speed; ; ; ; http://conversion.org/speed/horse-speed/; "1½ miles in 2' 22.8\""; "<b>Horse speed</b> is  <i>speed</i> unit. Definition of 1 horse speed ≡ 1½ miles in 2' 22.8\". For the base of horse speed, I used the record for 1½ miles (2,414 m) which is 60.86 km/h (37.82 mph) by 3-year-old Hawkster at Santa Anita Park, Arcadia, California, USA on 14 October 1989 with a time of 2min 22.8sec. ."
