@title; @kind; @symbols; @prefixes; @group; @parent; @link; @definition; @description
Acre-foot; volume; ac ft; ; ; ; http://conversion.org/volume/acre-foot/; 1 ac × ft = 43560 cu ft; <b>Acre-foot</b> is  <i>volume</i> unit, symbol: [ac ft]. Definition of 1 acre-foot ≡ 1 ac × ft ≡ 43560 cu ft. The acre-foot is a unit of volume commonly used in US in reference to large-scale water resources ≡ 1 acre (international) × ft cuboid ≡ 1233.48183754752 m³.
Acre-inch; volume; ac in; ; ; ; http://conversion.org/volume/acre-inch/; 1 ac × in; <b>Acre-inch</b> is  <i>volume</i> unit, symbol: [ac in]. Definition of 1 acre-inch ≡ 1 ac × in. Acre-inch is unit of volume commonly used as smaller unit of acre-foot, reference to large-scale water resources ≡ 102.79015312896 m³.
Barrel (imperial); volume; bl (imp); ; imperial; Barrel; http://conversion.org/volume/barrel-imperial/; 36 gal (imp); <b>Barrel (imperial)</b> is  <i>volume</i> unit, symbol: [bl (imp)]. Definition of 1 barrel (imperial) ≡ 36 gal (imp).  ≡ 36×0.00454609 m³ ≡ 0.16365924 m³.
Barrel (petroleum); volume; bl,bbl; ; petroleum; Barrel; http://conversion.org/volume/barrel-petroleum-archaic-blue-barrel/; 42 gal (US); "<b>Barrel (petroleum); archaic blue-barrel</b> is  <i>volume</i> unit, symbol: [bl; bbl]. Definition of 1 barrel (petroleum); archaic blue-barrel ≡ 42 gal (US).  ≡ 42×0.003785411784 ≡ 0.158987294928 m³."
archaic blue-barrel; volume; archaic blue-barrel; ; ; ; http://conversion.org/volume/barrel-petroleum-archaic-blue-barrel/; 42 gal (US); "<b>Barrel (petroleum); archaic blue-barrel</b> is  <i>volume</i> unit, symbol: [bl; bbl]. Definition of 1 barrel (petroleum); archaic blue-barrel ≡ 42 gal (US).  ≡ 42×0.003785411784 ≡ 0.158987294928 m³."
Barrel (US dry); volume; bl (US); ; US dry; Barrel; http://conversion.org/volume/barrel-us-dry/; 105 qt (US) = 105/32 bu (US lvl); <b>Barrel (US dry)</b> is  <i>volume</i> unit, symbol: [bl (US)]. Definition of 1 barrel (US dry) ≡ 105 qt (US) ≡ 105/32 bu (US lvl).  ≡ 105 / 32 × (2150.42 × 0.0254 × 0.0254 × 0.0254) ≡ 0.115628198985075 m³.
Barrel (US fluid); volume; fl bl (US); ; US fluid; Barrel; http://conversion.org/volume/barrel-us-fluid/; 31 1⁄2 gal (US); <b>Barrel (US fluid)</b> is  <i>volume</i> unit, symbol: [fl bl (US)]. Definition of 1 barrel (US fluid) ≡  31 1⁄2 gal (US).  ≡ 31.5×0.003785411784 ≡ 0.119240471196 m³.
Board-foot; volume; fbm; ; ; ; http://conversion.org/volume/board-foot/; 144 cu in; <b>Board-foot</b> is  <i>volume</i> unit, symbol: [fbm]. Definition of 1 board-foot ≡ 144 cu in. The board-foot is volume unit of lumber in the United States and Canada..
Bucket (imperial); volume; bkt; ; imperial; Bucket; http://conversion.org/volume/bucket-imperial/; 4 gal (imp); <b>Bucket (imperial)</b> is  <i>volume</i> unit, symbol: [bkt]. Definition of 1 bucket (imperial) ≡ 4 gal (imp).  ≡ 4×0.00454609 ≡ 0.01818436 m³.
Bushel (imperial); volume; bu (imp); ; imperial; Bushel; http://conversion.org/volume/bushel-imperial/; 8 gal (imp); <b>Bushel (imperial)</b> is  <i>volume</i> unit, symbol: [bu (imp)]. Definition of 1 bushel (imperial) ≡ 8 gal (imp). An imperial bushel was unit of weight or mass based upon an earlier measure of dry capacity. ≡ 0.03636872 m³.
Bushel (US dry heaped); volume; bu (US); ; US dry heaped; Bushel; http://conversion.org/volume/bushel-us-dry-heaped/; 1 1⁄4 bu (US lvl); <b>Bushel (US dry heaped)</b> is  <i>volume</i> unit, symbol: [bu (US)]. Definition of 1 bushel (US dry heaped) ≡  1 1⁄4 bu (US lvl). ≡ 1.25 × (2150.42×0.0254³) ≡ 0.0440488377086 m³.
Bushel (US dry level); volume; bu (US lvl); ; US dry level; Bushel; http://conversion.org/volume/bushel-us-dry-level/; 2150.42 cu in; <b>Bushel (US dry level)</b> is  <i>volume</i> unit, symbol: [bu (US lvl)]. Definition of 1 bushel (US dry level) ≡ 2150.42 cu in. ≡ 2150.42 × 0.0254³ ≡ 0.03523907016688 m³.
Butt, pipe; volume; butt, pipe; ; ; ; http://conversion.org/volume/butt-pipe/; 126 gal (wine); <b>Butt, pipe</b> is  <i>volume</i> unit. Definition of 1 butt, pipe ≡ 126 gal (wine). The US butt (or pipe) was a measure of liquid volume equalling two hogsheads or 126 US gallons ≡ 0.476961884784 m³.
Centilitre; volume; cL; ; metric; ; http://conversion.org/volume/centilitre/; 0.01 L; <b>Centilitre</b> is metric <i>volume</i> unit, symbol: [cL]. Definition of 1 centilitre  ≡ 0.01 L. One centilitre is volume equivalent to hundreds of Litre (L/100).
Coomb; volume; coomb; ; ; ; http://conversion.org/volume/coomb/; 4 bu (imp); <b>Coomb</b> is  <i>volume</i> unit. Definition of 1 coomb ≡ 4 bu (imp). A coomb is a measure of volume. In 13th century it was defined as 4 imperial bushels ≡ 0.14547488 m³.
Cord (firewood); volume; cord (firewood); ; firewood; Cord; http://conversion.org/volume/cord-firewood/; 8 ft × 4 ft × 4 ft; <b>Cord (firewood)</b> is  <i>volume</i> unit. Definition of 1 cord (firewood) ≡ 8 ft × 4 ft × 4 ft.  ≡ 8 × 4 × 4 × 0.3048³ ≡ 3.624556363776 m³.
Cord-foot; volume; cord-foot; ; ; ; http://conversion.org/volume/cord-foot/; 16 cu ft; <b>Cord-foot</b> is  <i>volume</i> unit. Definition of 1 cord-foot ≡ 16 cu ft.  ≡ 16 × 0.3048³≡ 0.453069545472 m³.
Cubic centimetre; volume; cm³; ; metric; ; http://conversion.org/volume/cubic-centimetre/; 1 cm × cm × cm; <b>Cubic centimetre</b> is metric <i>volume</i> unit, symbol: [cm³]. Definition of 1 cubic centimetre  ≡ 1 cm × cm × cm. One cubic centimetre is volume equivalent to cube with base of 1 cm. In 1 litre there are 1000 cubic centimetres..
Cubic decimetre; volume; dm³; ; metric; ; http://conversion.org/volume/cubic-decimetre/; 1 dm × dm × dm; <b>Cubic decimetre</b> is metric <i>volume</i> unit, symbol: [dm³]. Definition of 1 cubic decimetre  ≡ 1 dm × dm × dm. One cubic decimetre is volume equivalent to one litre. .
Cubic dekametre; volume; dam³; ; metric; ; http://conversion.org/volume/cubic-dekametre/; 1 dam × dam × dam; <b>Cubic dekametre</b> is metric <i>volume</i> unit, symbol: [dam³]. Definition of 1 cubic dekametre  ≡ 1 dam × dam × dam. Equivalent to volume of 10 m × 10 m × 10 m cube ≡ thousands of cubic metre..
Cubic fathom; volume; cu fm; ; ; ; http://conversion.org/volume/cubic-fathom/; 1 fm × fm × fm; <b>Cubic fathom</b> is  <i>volume</i> unit, symbol: [cu fm]. Definition of 1 cubic fathom ≡ 1 fm × fm × fm. ≡ 1.8288³ ≡ 6.116438863872 m³.
Cubic foot; volume; cu ft; ; ; ; http://conversion.org/volume/cubic-foot/; 1 ft × ft × ft; <b>Cubic foot</b> is  <i>volume</i> unit, symbol: [cu ft]. Definition of 1 cubic foot ≡ 1 ft × ft × ft. ≡ 0.3048³ ≡ 0.028316846592 m³.
